series,ts,temp_injected,is_injected_anomaly,injection_type,sim_time_received
Out,2018-08-10 08:27:00,31.0,False,nan,1128000.0
Out,2018-08-10 08:27:00,32.0,False,nan,1128000.0
Out,2018-08-10 08:27:00,31.0,False,nan,1128000.0
Out,2018-08-10 08:27:00,32.0,False,nan,1128000.0
Out,2018-08-10 08:27:00,31.0,False,nan,1128000.0
Out,2018-08-10 08:30:00,32.0,False,nan,1128180.0
Out,2018-08-10 08:30:00,31.0,False,nan,1128180.0
Out,2018-08-10 08:31:00,31.0,False,nan,1128240.0
Out,2018-08-10 08:31:00,32.0,False,nan,1128240.0
Out,2018-08-10 08:31:00,32.0,False,nan,1128240.0
Out,2018-08-10 08:32:00,31.0,False,nan,1128300.0
Out,2018-08-10 08:32:00,30.0,False,nan,1128300.0
Out,2018-08-10 08:33:00,32.0,False,nan,1128360.0
Out,2018-08-10 08:33:00,31.0,False,nan,1128360.0
Out,2018-08-10 08:33:00,30.0,False,nan,1128360.0
Out,2018-08-10 08:33:00,31.0,False,nan,1128360.0
Out,2018-08-10 08:34:00,31.0,False,nan,1128420.0
Out,2018-08-10 08:34:00,32.0,False,nan,1128420.0
Out,2018-08-10 08:35:00,32.0,False,nan,1128480.0
Out,2018-08-10 08:35:00,31.0,False,nan,1128480.0
Out,2018-08-10 08:36:00,30.0,False,nan,1128540.0
Out,2018-08-10 08:36:00,30.0,False,nan,1128540.0
Out,2018-08-10 08:36:00,31.0,False,nan,1128540.0
Out,2018-08-10 08:36:00,31.0,False,nan,1128540.0
Out,2018-08-10 08:39:00,30.0,False,nan,1128720.0
Out,2018-08-10 08:39:00,31.0,False,nan,1128720.0
Out,2018-08-10 08:39:00,32.0,False,nan,1128720.0
Out,2018-08-10 08:39:00,31.0,False,nan,1128720.0
Out,2018-08-10 08:45:00,31.0,False,nan,1129080.0
Out,2018-08-10 08:45:00,30.0,False,nan,1129080.0
Out,2018-08-10 08:47:00,32.0,False,nan,1129200.0
Out,2018-08-10 08:47:00,31.0,False,nan,1129200.0
Out,2018-08-10 08:47:00,30.0,False,nan,1129200.0
